ID,Name,Station,FirstCategory,SecondCategory,TotalRating
118,Kyoutonijoutosaka  ,Marutamachi,Kappo (Traditional Japanese),Japanese food (other),3.53
119,YAMAMURA GYUUBEI  ,Omiya,Izakaya (Tavern),Italian,3.06
120,Poquito  ,Kyoto Shiyakusho Mae,Spain,Dining bar,3.51
121,Machiyashisenhoshitsukiyo  ,Omiya,Sichuan Cuisine,Shanghai Cuisine,3.53
122,Ameirobisutoroaruru  ,Nishi Maizuru,Italian,Cafe,3.05
123,LODGE  ,Kyoto Shiyakusho Mae,Steak,Izakaya (Tavern),3.06
124,Yosuke YAMAJI  ,Gion Shijo,French,Modern French,4.02
125,Feliz-Lana  ,Karasuma,Italian,Bar,3.2
126,Wakanoshizuku  ,Sanjo,Izakaya (Tavern),Chanko Nabe (Sumo Wrestlers Hot Pot),3.02
127,fujiyakyoushoku  ,Kyoto Shiyakusho Mae,Izakaya (Tavern),Japanese food (other),3.04
128,Teramachiyoshikura  ,Demachiyanagi,Kaiseki (Traditional Japanese),Kyoto Cuisine,3.16
129,sakanaryouritosakeshinsengumi  ,Fushimi,Izakaya (Tavern),Seafood,3.28
130,bisutorowaraku  ,Karasuma,Bistro,Bar,3.2
131,Uroko  ,Kawaramachi,Izakaya (Tavern),Japanese food (other),3.07
132,Ipponyari  ,Fujinomori,Fugu (Blowfish),Kappo (Traditional Japanese),3.08
133,Higashinotouinsou  ,Karasuma Oike,Kappo (Traditional Japanese),Japanese food (other),3.15
134,hokkorisakabanagomiya  ,Shijo Omiya,Izakaya (Tavern),Yakitori (Grilled chicken),3.06
135,teppandainingugionshou  ,Gion Shijo,Izakaya (Tavern),Teppanyaki,3.02
136,Charcoal  ,Shijo,Italian,Bar,3.53
137,rakuenzakayaannachuraru  ,Demachiyanagi,Izakaya (Tavern),Dining bar,3
138,Gionemon  ,Higashiyama,Sushi,Kappo (Traditional Japanese),3.48
139,Momojirou  ,Keihan Yamashina,Izakaya (Tavern),Seafood,3.08
140,Kizakurajirokutei  ,Sanjo,Izakaya (Tavern),Kyoto Cuisine,3.2
141,torisemmontenyamadori  ,Kyoto,Yakitori (Grilled chicken),Sukiyaki,3.38
142,satsumachirandorikuroyakibeppinya  ,Karasuma,Izakaya (Tavern),Fowl,3.48
143,zensekikoshitsuizakayasakurazaka  ,Sanjo,Izakaya (Tavern),Seafood,3
144,Chiritorinabeiyama  ,Kitano Hakubaicho,Chiritori nabe (tripe),Korean cuisine,3.52
145,Mayonakashokudouchoujuugigarokkaku  ,Karasuma Oike,Izakaya (Tavern),Fowl,3.06
146,Bankettonishiki  ,Karasuma,Japanese food (other),Izakaya (Tavern),3.15
147,Roppakuyakado  ,Karasuma,Izakaya (Tavern),Wine bar,3.06
148,Parinijuuikku  ,Kawaramachi,Steak,Beer,3.15
149,ajidokorosamon  ,Sai,Izakaya (Tavern),Okinawan Cuisine,3.05
150,Ajidokoroterasaki  ,Kyoto,Kaiseki (Traditional Japanese),Seafood,3.52
151,STRADA  ,Kyoto Shiyakusho Mae,Italian,NA,3
152,Nonkitei  ,Gion Shijo,Kappo (Traditional Japanese),Creative cuisine,3.47
153,kyouryourikaji  ,Marutamachi,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.56
154,nikugaumaikafenikkusutokku  ,Tambaguchi,Cafe,Steak,3.19
155,momojirouichiba  ,Kitano Hakubaicho,Izakaya (Tavern),Seafood,3.05
156,Waraiya  ,Kawaramachi,Izakaya (Tavern),Yakitori (Grilled chicken),3.09
157,Ryouma  ,Karasuma Oike,Izakaya (Tavern),Seafood,3.03
158,Nihonryouriukihashi  ,Kyoto,Kaiseki (Traditional Japanese),Kyoto Cuisine,3.53
159,Sushiyoshino  ,Sanjo,Sushi,Kappo (Traditional Japanese),3.06
160,Tsuneo  ,Gion Shijo,Kappo (Traditional Japanese),Wine bar,3.52
161,KYOTO GATTEN  ,Gion Shijo,Tempura,Sushi,3.09
162,Figerasu  ,Gion Shijo,Spain,Bar,3.06
163,LOTUS  ,Shijo,Italian,Izakaya (Tavern),3.42
164,Saredokafe  ,Kyoto,Cafe,Crepes,3.11
165,Kushinobou  ,Kyoto,Kushi-age (Fried Skewer),NA,3.06
166,Kaisendokoroichi  ,Karasuma,Izakaya (Tavern),Seafood,3.08
167,Kyuushuunecchuuya  ,Omiya,Izakaya (Tavern),Dumplings,3.08
168,Nosutarujia  ,Kyoto Shiyakusho Mae,Dining bar,Italian,3.04
169,sakesakanatanagokoro  ,Gojo,Izakaya (Tavern),Japanese food (other),3.06
170,mo-shondaina-  ,Kyoto Shiyakusho Mae,Cafe,Burger,3.12
